new_annotation	clonality_median
0_Follicular	0.000308934571731423
1_Marginal Zone	0.00161579022373498
2_Transitional (T2)	0
3_Atypical CD21lowCD23low	0.0108393904722027
4_Atypical CD21-CD23-	0.0761460659083256
5_Atypical Marginal Zone	0.103504108727483
6_Follicular	0
7_Age-associated/autoimmune	0.0507598752608744
8_Age-associated/autoimmune	0.113996916222766
9_Follicular Hspa1+	0
10_Follicular IFN-stimulated	0
11_Follicular	0
12_Follicular	0
13_Follicular	0
14_Follicular Serpina3+	0
15_Plasmablasts	0.0647327374755038
16_Other	0
17_Ig-restricted	0
18_Cycling MHCII low	0.0174324069266364
19_Cycling MHCII low	0.035869946518165
20_Ig-restricted	0
21_Cycling MHCII low	0.188721875540867
22_Pre-plasmablasts	0.0990601562950724
23_Ig-restricted	0
24_Follicular	0
25_Ig-restricted	0
27_Light Zone	0
