sample_id	age	genotype	new_annotation	clonality_trust4
234	6mos	WT	1_Marginal Zone	0
234	6mos	WT	20_Ig-restricted	1.11022302462516e-16
234	6mos	WT	6_Follicular	0
234	6mos	WT	12_Follicular	0
234	6mos	WT	11_Follicular	0
234	6mos	WT	10_Follicular IFN-stimulated	0
234	6mos	WT	9_Follicular Hspa1+	0
234	6mos	WT	4_Atypical CD21-CD23-	0.00742156538354311
234	6mos	WT	16_Other	0
234	6mos	WT	0_Follicular	0.000273444247418153
234	6mos	WT	3_Atypical CD21lowCD23low	0
234	6mos	WT	2_Transitional (T2)	0
234	6mos	WT	8_Age-associated/autoimmune	0.0171867601268416
234	6mos	WT	7_Age-associated/autoimmune	1.11022302462516e-16
234	6mos	WT	17_Ig-restricted	0
234	6mos	WT	24_Follicular	-2.22044604925031e-16
234	6mos	WT	13_Follicular	0
234	6mos	WT	5_Atypical Marginal Zone	0
234	6mos	WT	27_Light Zone	2.22044604925031e-16
234	6mos	WT	14_Follicular Serpina3+	0
234	6mos	WT	18_Cycling MHCII low	0.0174324069266364
234	6mos	WT	23_Ig-restricted	0
234	6mos	WT	19_Cycling MHCII low	0
234	6mos	WT	21_Cycling MHCII low	-2.22044604925031e-16
234	6mos	WT	25_Ig-restricted	0
234	6mos	WT	15_Plasmablasts	0.0779004405330463
234	6mos	WT	22_Pre-plasmablasts	0
257	6mos	WT	12_Follicular	0
257	6mos	WT	0_Follicular	0.000455450738422014
257	6mos	WT	1_Marginal Zone	2.22044604925031e-16
257	6mos	WT	10_Follicular IFN-stimulated	0
257	6mos	WT	20_Ig-restricted	1.11022302462516e-16
257	6mos	WT	8_Age-associated/autoimmune	0.0260059388799624
257	6mos	WT	2_Transitional (T2)	0.000558747921238001
257	6mos	WT	7_Age-associated/autoimmune	0
257	6mos	WT	6_Follicular	0
257	6mos	WT	24_Follicular	-2.22044604925031e-16
257	6mos	WT	3_Atypical CD21lowCD23low	0
257	6mos	WT	23_Ig-restricted	0
257	6mos	WT	5_Atypical Marginal Zone	0
