new_annotation	entropy_median
0_Follicular	4.37290718967596
1_Marginal Zone	3.70892008303026
2_Transitional (T2)	3.65462088040678
3_Atypical CD21lowCD23low	2.78976315957854
4_Atypical CD21-CD23-	2.39599232710048
5_Atypical Marginal Zone	1.90615474653985
6_Follicular	2.98712034704061
7_Age-associated/autoimmune	2.56939287021606
8_Age-associated/autoimmune	2.02406737509239
9_Follicular Hspa1+	3.23848618144484
10_Follicular IFN-stimulated	2.96147369984684
11_Follicular	2.88924250511463
12_Follicular	2.9174053685313
13_Follicular	2.19722457733622
14_Follicular Serpina3+	2.07944154167984
15_Plasmablasts	2.06425807517451
16_Other	1.6094379124341
17_Ig-restricted	1.94591014905531
18_Cycling MHCII low	1.09861228866811
19_Cycling MHCII low	1.09861228866811
20_Ig-restricted	2.52492800362477
21_Cycling MHCII low	0.859967281035505
22_Pre-plasmablasts	1.09861228866811
23_Ig-restricted	2.07944154167984
24_Follicular	2.12169859928095
25_Ig-restricted	1.6094379124341
27_Light Zone	1.67698777432242
