sample_id	age	genotype	new_annotation	entropy
234	6mos	WT	1_Marginal Zone	4.55387689160054
234	6mos	WT	20_Ig-restricted	3.3322045101752
234	6mos	WT	6_Follicular	3.78418963391826
234	6mos	WT	12_Follicular	3.8286413964891
234	6mos	WT	11_Follicular	3.78418963391826
234	6mos	WT	10_Follicular IFN-stimulated	4.12713438504509
234	6mos	WT	9_Follicular Hspa1+	3.49650756146648
234	6mos	WT	4_Atypical CD21-CD23-	3.55692361835119
234	6mos	WT	16_Other	1.79175946922805
234	6mos	WT	0_Follicular	5.5318764152031
234	6mos	WT	3_Atypical CD21lowCD23low	4.00733318523247
234	6mos	WT	2_Transitional (T2)	4.85203026391962
234	6mos	WT	8_Age-associated/autoimmune	2.99219696088548
234	6mos	WT	7_Age-associated/autoimmune	3.17805383034795
234	6mos	WT	17_Ig-restricted	2.77258872223978
234	6mos	WT	24_Follicular	2.94443897916644
234	6mos	WT	13_Follicular	2.99573227355399
234	6mos	WT	5_Atypical Marginal Zone	3.46573590279973
234	6mos	WT	27_Light Zone	2.30258509299405
234	6mos	WT	14_Follicular Serpina3+	2.63905732961526
234	6mos	WT	18_Cycling MHCII low	2.04319187054512
234	6mos	WT	23_Ig-restricted	2.07944154167984
234	6mos	WT	19_Cycling MHCII low	2.07944154167984
234	6mos	WT	21_Cycling MHCII low	1.6094379124341
234	6mos	WT	25_Ig-restricted	2.07944154167984
234	6mos	WT	15_Plasmablasts	2.96812398008979
234	6mos	WT	22_Pre-plasmablasts	1.38629436111989
257	6mos	WT	12_Follicular	3.40119738166216
257	6mos	WT	0_Follicular	5.09754368989379
257	6mos	WT	1_Marginal Zone	4.30406509320417
257	6mos	WT	10_Follicular IFN-stimulated	2.99573227355399
257	6mos	WT	20_Ig-restricted	3.29583686600433
257	6mos	WT	8_Age-associated/autoimmune	2.81520492661995
257	6mos	WT	2_Transitional (T2)	4.92450059240321
257	6mos	WT	7_Age-associated/autoimmune	2.89037175789616
257	6mos	WT	6_Follicular	3.58351893845611
257	6mos	WT	24_Follicular	2.56494935746154
257	6mos	WT	3_Atypical CD21lowCD23low	3.85014760171006
257	6mos	WT	23_Ig-restricted	2.89037175789616
257	6mos	WT	5_Atypical Marginal Zone	2.83321334405622
257	6mos	WT	17_Ig-restricted	1.94591014905531
257	6mos	WT	9_Follicular Hspa1+	3.98898404656427
257	6mos	WT	11_Follicular	3.55534806148941
257	6mos	WT	14_Follicular Serpina3+	2.07944154167984
257	6mos	WT	4_Atypical CD21-CD23-	3.46573590279973
257	6mos	WT	27_Light Zone	2.19722457733622
257	6mos	WT	13_Follicular	2.89037175789616
257	6mos	WT	18_Cycling MHCII low	2.19722457733622
257	6mos	WT	25_Ig-restricted	1.09861228866811
257	6mos	WT	15_Plasmablasts	2.39789527279837
257	6mos	WT	19_Cycling MHCII low	NA
257	6mos	WT	16_Other	1.38629436111989
257	6mos	WT	22_Pre-plasmablasts	1.79175946922805
257	6mos	WT	21_Cycling MHCII low	NA
010	6mos	WT	2_Transitional (T2)	5.10363661750642
010	6mos	WT	0_Follicular	5.48165161320787
010	6mos	WT	1_Marginal Zone	4.59511985013459
010	6mos	WT	10_Follicular IFN-stimulated	4.28533138562147
010	6mos	WT	17_Ig-restricted	2.56494935746154
010	6mos	WT	14_Follicular Serpina3+	2.484906649788
010	6mos	WT	27_Light Zone	2.70805020110221
010	6mos	WT	20_Ig-restricted	3.34454885860644
010	6mos	WT	6_Follicular	3.82065197700538
010	6mos	WT	3_Atypical CD21lowCD23low	4.15888308335967
010	6mos	WT	21_Cycling MHCII low	NA
010	6mos	WT	12_Follicular	3.95124371858143
010	6mos	WT	25_Ig-restricted	2.83321334405622
010	6mos	WT	13_Follicular	2.70805020110221
010	6mos	WT	11_Follicular	3.71357206670431
010	6mos	WT	9_Follicular Hspa1+	4.10477479857542
010	6mos	WT	7_Age-associated/autoimmune	2.87147611805487
010	6mos	WT	4_Atypical CD21-CD23-	3.58351893845611
010	6mos	WT	15_Plasmablasts	2.89037175789616
010	6mos	WT	19_Cycling MHCII low	1.6094379124341
010	6mos	WT	16_Other	1.38629436111989
010	6mos	WT	23_Ig-restricted	2.484906649788
010	6mos	WT	5_Atypical Marginal Zone	3.3322045101752
010	6mos	WT	18_Cycling MHCII low	1.94591014905531
010	6mos	WT	24_Follicular	2.89037175789616
010	6mos	WT	8_Age-associated/autoimmune	2.94443897916644
010	6mos	WT	22_Pre-plasmablasts	1.09861228866811
C	6mos	WT	9_Follicular Hspa1+	4.17438726989564
C	6mos	WT	2_Transitional (T2)	4.34380542185369
C	6mos	WT	0_Follicular	4.8283137373023
C	6mos	WT	4_Atypical CD21-CD23-	2.94443897916644
C	6mos	WT	20_Ig-restricted	2.63905732961526
C	6mos	WT	1_Marginal Zone	3.76120011569356
C	6mos	WT	3_Atypical CD21lowCD23low	3.49650756146648
C	6mos	WT	10_Follicular IFN-stimulated	3.04452243772342
C	6mos	WT	11_Follicular	3.52636052461616
C	6mos	WT	6_Follicular	3.66356164612965
C	6mos	WT	25_Ig-restricted	1.79175946922805
C	6mos	WT	12_Follicular	3.13549421592915
C	6mos	WT	13_Follicular	2.63905732961526
C	6mos	WT	14_Follicular Serpina3+	1.94591014905531
C	6mos	WT	8_Age-associated/autoimmune	1.74786809746676
C	6mos	WT	24_Follicular	2.30258509299405
C	6mos	WT	5_Atypical Marginal Zone	2.39789527279837
C	6mos	WT	23_Ig-restricted	2.39789527279837
C	6mos	WT	17_Ig-restricted	2.07944154167984
C	6mos	WT	21_Cycling MHCII low	NA
C	6mos	WT	27_Light Zone	1.6094379124341
C	6mos	WT	15_Plasmablasts	1.97300140639361
C	6mos	WT	16_Other	1.38629436111989
C	6mos	WT	18_Cycling MHCII low	NA
C	6mos	WT	7_Age-associated/autoimmune	2.30258509299405
C	6mos	WT	19_Cycling MHCII low	NA
D	6mos	WT	9_Follicular Hspa1+	3.71357206670431
D	6mos	WT	0_Follicular	4.49980967033027
D	6mos	WT	1_Marginal Zone	4.00733318523247
D	6mos	WT	19_Cycling MHCII low	NA
D	6mos	WT	13_Follicular	2.484906649788
D	6mos	WT	2_Transitional (T2)	3.43398720448515
D	6mos	WT	14_Follicular Serpina3+	2.19722457733622
D	6mos	WT	7_Age-associated/autoimmune	2.56659891811451
D	6mos	WT	20_Ig-restricted	1.79175946922805
D	6mos	WT	10_Follicular IFN-stimulated	3.13549421592915
D	6mos	WT	12_Follicular	2.83321334405622
D	6mos	WT	24_Follicular	2.07944154167984
D	6mos	WT	6_Follicular	3.07522054805437
D	6mos	WT	23_Ig-restricted	1.6094379124341
D	6mos	WT	5_Atypical Marginal Zone	3.09104245335832
D	6mos	WT	3_Atypical CD21lowCD23low	2.99573227355399
D	6mos	WT	16_Other	1.09861228866811
D	6mos	WT	17_Ig-restricted	1.94591014905531
D	6mos	WT	4_Atypical CD21-CD23-	2.77258872223978
D	6mos	WT	11_Follicular	3.17805383034795
D	6mos	WT	21_Cycling MHCII low	NA
D	6mos	WT	25_Ig-restricted	NA
D	6mos	WT	27_Light Zone	NA
D	6mos	WT	8_Age-associated/autoimmune	2.24503527412618
D	6mos	WT	15_Plasmablasts	2.19722457733622
D	6mos	WT	18_Cycling MHCII low	NA
D	6mos	WT	22_Pre-plasmablasts	1.79175946922805
262	6mos	WT	13_Follicular	1.6094379124341
262	6mos	WT	20_Ig-restricted	1.79175946922805
262	6mos	WT	3_Atypical CD21lowCD23low	2.94443897916644
262	6mos	WT	1_Marginal Zone	3.78418963391826
262	6mos	WT	0_Follicular	4.17438726989564
262	6mos	WT	9_Follicular Hspa1+	2.484906649788
262	6mos	WT	5_Atypical Marginal Zone	3.17805383034795
262	6mos	WT	8_Age-associated/autoimmune	1.2968943286154
262	6mos	WT	11_Follicular	2.63905732961526
262	6mos	WT	2_Transitional (T2)	2.99573227355399
262	6mos	WT	24_Follicular	1.38629436111989
262	6mos	WT	6_Follicular	2.83321334405622
262	6mos	WT	4_Atypical CD21-CD23-	2.87147611805487
262	6mos	WT	22_Pre-plasmablasts	1.09861228866811
262	6mos	WT	10_Follicular IFN-stimulated	2.94443897916644
262	6mos	WT	7_Age-associated/autoimmune	1.3522918760955
262	6mos	WT	12_Follicular	2.484906649788
262	6mos	WT	17_Ig-restricted	1.6094379124341
262	6mos	WT	27_Light Zone	1.6094379124341
262	6mos	WT	25_Ig-restricted	NA
262	6mos	WT	16_Other	NA
262	6mos	WT	23_Ig-restricted	1.6094379124341
262	6mos	WT	14_Follicular Serpina3+	1.6094379124341
262	6mos	WT	19_Cycling MHCII low	1.09861228866811
262	6mos	WT	21_Cycling MHCII low	NA
262	6mos	WT	15_Plasmablasts	2.09472904752765
262	6mos	WT	18_Cycling MHCII low	1.09861228866811
137	6mos	CD70-/-	0_Follicular	4.29045944114839
137	6mos	CD70-/-	1_Marginal Zone	4.49980967033027
137	6mos	CD70-/-	17_Ig-restricted	1.79175946922805
137	6mos	CD70-/-	6_Follicular	2.89037175789616
137	6mos	CD70-/-	9_Follicular Hspa1+	3.49650756146648
137	6mos	CD70-/-	5_Atypical Marginal Zone	1.74100372028366
137	6mos	CD70-/-	2_Transitional (T2)	3.86352857645512
137	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.04284548781654
