new_annotation	richness_median
0_Follicular	80
1_Marginal Zone	41
2_Transitional (T2)	39
3_Atypical CD21lowCD23low	18
4_Atypical CD21-CD23-	15
5_Atypical Marginal Zone	10
6_Follicular	20
7_Age-associated/autoimmune	16
8_Age-associated/autoimmune	10
9_Follicular Hspa1+	25.5
10_Follicular IFN-stimulated	19.5
11_Follicular	19
12_Follicular	18.5
13_Follicular	9
14_Follicular Serpina3+	8
15_Plasmablasts	9
16_Other	5
17_Ig-restricted	7
18_Cycling MHCII low	4
19_Cycling MHCII low	4
20_Ig-restricted	12.5
21_Cycling MHCII low	3
22_Pre-plasmablasts	4
23_Ig-restricted	8
24_Follicular	8.5
25_Ig-restricted	5
27_Light Zone	6
