sample_id	age	genotype	new_annotation	richness
234	6mos	WT	1_Marginal Zone	95
234	6mos	WT	20_Ig-restricted	28
234	6mos	WT	6_Follicular	44
234	6mos	WT	12_Follicular	46
234	6mos	WT	11_Follicular	44
234	6mos	WT	10_Follicular IFN-stimulated	62
234	6mos	WT	9_Follicular Hspa1+	33
234	6mos	WT	4_Atypical CD21-CD23-	36
234	6mos	WT	16_Other	6
234	6mos	WT	0_Follicular	253
234	6mos	WT	3_Atypical CD21lowCD23low	55
234	6mos	WT	2_Transitional (T2)	128
234	6mos	WT	8_Age-associated/autoimmune	21
234	6mos	WT	7_Age-associated/autoimmune	24
234	6mos	WT	17_Ig-restricted	16
234	6mos	WT	24_Follicular	19
234	6mos	WT	13_Follicular	20
234	6mos	WT	5_Atypical Marginal Zone	32
234	6mos	WT	27_Light Zone	10
234	6mos	WT	14_Follicular Serpina3+	14
234	6mos	WT	18_Cycling MHCII low	8
234	6mos	WT	23_Ig-restricted	8
234	6mos	WT	19_Cycling MHCII low	8
234	6mos	WT	21_Cycling MHCII low	5
234	6mos	WT	25_Ig-restricted	8
234	6mos	WT	15_Plasmablasts	25
234	6mos	WT	22_Pre-plasmablasts	4
257	6mos	WT	12_Follicular	30
257	6mos	WT	0_Follicular	164
257	6mos	WT	1_Marginal Zone	74
257	6mos	WT	10_Follicular IFN-stimulated	20
257	6mos	WT	20_Ig-restricted	27
257	6mos	WT	8_Age-associated/autoimmune	18
257	6mos	WT	2_Transitional (T2)	138
257	6mos	WT	7_Age-associated/autoimmune	18
257	6mos	WT	6_Follicular	36
257	6mos	WT	24_Follicular	13
257	6mos	WT	3_Atypical CD21lowCD23low	47
257	6mos	WT	23_Ig-restricted	18
257	6mos	WT	5_Atypical Marginal Zone	17
257	6mos	WT	17_Ig-restricted	7
257	6mos	WT	9_Follicular Hspa1+	54
257	6mos	WT	11_Follicular	35
257	6mos	WT	14_Follicular Serpina3+	8
257	6mos	WT	4_Atypical CD21-CD23-	32
257	6mos	WT	27_Light Zone	9
257	6mos	WT	13_Follicular	18
257	6mos	WT	18_Cycling MHCII low	9
257	6mos	WT	25_Ig-restricted	3
257	6mos	WT	15_Plasmablasts	11
257	6mos	WT	19_Cycling MHCII low	NA
257	6mos	WT	16_Other	4
257	6mos	WT	22_Pre-plasmablasts	6
257	6mos	WT	21_Cycling MHCII low	NA
010	6mos	WT	2_Transitional (T2)	165
010	6mos	WT	0_Follicular	241
010	6mos	WT	1_Marginal Zone	99
010	6mos	WT	10_Follicular IFN-stimulated	73
010	6mos	WT	17_Ig-restricted	13
010	6mos	WT	14_Follicular Serpina3+	12
010	6mos	WT	27_Light Zone	15
010	6mos	WT	20_Ig-restricted	29
010	6mos	WT	6_Follicular	46
010	6mos	WT	3_Atypical CD21lowCD23low	64
010	6mos	WT	21_Cycling MHCII low	NA
010	6mos	WT	12_Follicular	52
010	6mos	WT	25_Ig-restricted	17
010	6mos	WT	13_Follicular	15
010	6mos	WT	11_Follicular	41
010	6mos	WT	9_Follicular Hspa1+	61
010	6mos	WT	7_Age-associated/autoimmune	18
010	6mos	WT	4_Atypical CD21-CD23-	36
010	6mos	WT	15_Plasmablasts	18
010	6mos	WT	19_Cycling MHCII low	5
010	6mos	WT	16_Other	4
010	6mos	WT	23_Ig-restricted	12
010	6mos	WT	5_Atypical Marginal Zone	28
010	6mos	WT	18_Cycling MHCII low	7
010	6mos	WT	24_Follicular	18
010	6mos	WT	8_Age-associated/autoimmune	19
010	6mos	WT	22_Pre-plasmablasts	3
C	6mos	WT	9_Follicular Hspa1+	65
C	6mos	WT	2_Transitional (T2)	77
C	6mos	WT	0_Follicular	125
C	6mos	WT	4_Atypical CD21-CD23-	19
C	6mos	WT	20_Ig-restricted	14
C	6mos	WT	1_Marginal Zone	43
C	6mos	WT	3_Atypical CD21lowCD23low	33
C	6mos	WT	10_Follicular IFN-stimulated	21
C	6mos	WT	11_Follicular	34
C	6mos	WT	6_Follicular	39
C	6mos	WT	25_Ig-restricted	6
C	6mos	WT	12_Follicular	23
C	6mos	WT	13_Follicular	14
C	6mos	WT	14_Follicular Serpina3+	7
C	6mos	WT	8_Age-associated/autoimmune	6
C	6mos	WT	24_Follicular	10
C	6mos	WT	5_Atypical Marginal Zone	11
C	6mos	WT	23_Ig-restricted	11
C	6mos	WT	17_Ig-restricted	8
C	6mos	WT	21_Cycling MHCII low	NA
C	6mos	WT	27_Light Zone	5
C	6mos	WT	15_Plasmablasts	8
C	6mos	WT	16_Other	4
C	6mos	WT	18_Cycling MHCII low	NA
C	6mos	WT	7_Age-associated/autoimmune	10
C	6mos	WT	19_Cycling MHCII low	NA
D	6mos	WT	9_Follicular Hspa1+	41
D	6mos	WT	0_Follicular	90
D	6mos	WT	1_Marginal Zone	55
D	6mos	WT	19_Cycling MHCII low	NA
D	6mos	WT	13_Follicular	12
D	6mos	WT	2_Transitional (T2)	31
D	6mos	WT	14_Follicular Serpina3+	9
D	6mos	WT	7_Age-associated/autoimmune	14
D	6mos	WT	20_Ig-restricted	6
D	6mos	WT	10_Follicular IFN-stimulated	23
D	6mos	WT	12_Follicular	17
D	6mos	WT	24_Follicular	8
D	6mos	WT	6_Follicular	22
D	6mos	WT	23_Ig-restricted	5
D	6mos	WT	5_Atypical Marginal Zone	22
D	6mos	WT	3_Atypical CD21lowCD23low	20
D	6mos	WT	16_Other	3
D	6mos	WT	17_Ig-restricted	7
D	6mos	WT	4_Atypical CD21-CD23-	16
D	6mos	WT	11_Follicular	24
D	6mos	WT	21_Cycling MHCII low	NA
D	6mos	WT	25_Ig-restricted	NA
D	6mos	WT	27_Light Zone	NA
D	6mos	WT	8_Age-associated/autoimmune	10
D	6mos	WT	15_Plasmablasts	9
