sample_id	age	genotype	new_annotation	clonality_trust4
234	6mos	WT	0_Naïve	0
234	6mos	WT	1_CM/EM	0
234	6mos	WT	11_Cycling	NA
234	6mos	WT	4_Naïve	0
234	6mos	WT	5_Other	0
234	6mos	WT	9_Non-exhausted effectors	0.0535880717849854
234	6mos	WT	7_CM/EM	0
234	6mos	WT	8_Precursor exhausted CTLs	NA
234	6mos	WT	3_Activated CTLs	NA
234	6mos	WT	13_Early exhausted CTLs	NA
234	6mos	WT	6_CM/EM	0
234	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	0_Naïve	0
257	6mos	WT	1_CM/EM	0
257	6mos	WT	4_Naïve	1.11022302462516e-16
257	6mos	WT	5_Other	0
257	6mos	WT	6_CM/EM	0
257	6mos	WT	7_CM/EM	0
257	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	11_Cycling	NA
257	6mos	WT	13_Early exhausted CTLs	NA
257	6mos	WT	8_Precursor exhausted CTLs	NA
257	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	4_Naïve	0
010	6mos	WT	0_Naïve	0
010	6mos	WT	6_CM/EM	0
010	6mos	WT	13_Early exhausted CTLs	NA
010	6mos	WT	7_CM/EM	-2.22044604925031e-16
010	6mos	WT	1_CM/EM	0
010	6mos	WT	5_Other	NA
010	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	8_Precursor exhausted CTLs	NA
C	6mos	WT	0_Naïve	0
C	6mos	WT	1_CM/EM	1.11022302462516e-16
C	6mos	WT	13_Early exhausted CTLs	NA
C	6mos	WT	4_Naïve	0.00460337700539815
C	6mos	WT	6_CM/EM	2.22044604925031e-16
C	6mos	WT	5_Other	0
C	6mos	WT	7_CM/EM	2.22044604925031e-16
C	6mos	WT	9_Non-exhausted effectors	NA
D	6mos	WT	4_Naïve	0
D	6mos	WT	0_Naïve	0
D	6mos	WT	7_CM/EM	0
D	6mos	WT	8_Precursor exhausted CTLs	0.0390359525563188
D	6mos	WT	6_CM/EM	0
D	6mos	WT	5_Other	0
D	6mos	WT	1_CM/EM	0
D	6mos	WT	2_Exhausted CTLs	0.180551628127196
D	6mos	WT	13_Early exhausted CTLs	NA
D	6mos	WT	3_Activated CTLs	2.22044604925031e-16
D	6mos	WT	9_Non-exhausted effectors	2.22044604925031e-16
D	6mos	WT	16_Terminally exhausted CTLs	NA
D	6mos	WT	11_Cycling	NA
262	6mos	WT	0_Naïve	1.11022302462516e-16
262	6mos	WT	5_Other	0
262	6mos	WT	3_Activated CTLs	0.0162726037405871
262	6mos	WT	4_Naïve	0
262	6mos	WT	8_Precursor exhausted CTLs	0.0716167882304136
262	6mos	WT	2_Exhausted CTLs	0.0325193112171065
262	6mos	WT	11_Cycling	0.0302761001317527
262	6mos	WT	9_Non-exhausted effectors	0
262	6mos	WT	1_CM/EM	0
262	6mos	WT	7_CM/EM	NA
262	6mos	WT	6_CM/EM	0
262	6mos	WT	13_Early exhausted CTLs	-2.22044604925031e-16
262	6mos	WT	16_Terminally exhausted CTLs	NA
137	6mos	CD70-/-	8_Precursor exhausted CTLs	0.0133400413261352
137	6mos	CD70-/-	0_Naïve	0
137	6mos	CD70-/-	6_CM/EM	0
137	6mos	CD70-/-	13_Early exhausted CTLs	NA
137	6mos	CD70-/-	1_CM/EM	1.11022302462516e-16
137	6mos	CD70-/-	3_Activated CTLs	0.0302761001317527
137	6mos	CD70-/-	5_Other	NA
137	6mos	CD70-/-	11_Cycling	0
137	6mos	CD70-/-	2_Exhausted CTLs	0.0716167882304136
137	6mos	CD70-/-	4_Naïve	0
137	6mos	CD70-/-	9_Non-exhausted effectors	NA
137	6mos	CD70-/-	7_CM/EM	NA
138	6mos	CD70-/-	0_Naïve	0
138	6mos	CD70-/-	4_Naïve	-2.22044604925031e-16
138	6mos	CD70-/-	9_Non-exhausted effectors	0.0590416099107006
138	6mos	CD70-/-	1_CM/EM	0
138	6mos	CD70-/-	8_Precursor exhausted CTLs	0
138	6mos	CD70-/-	7_CM/EM	0
138	6mos	CD70-/-	2_Exhausted CTLs	0.0302761001317527
138	6mos	CD70-/-	3_Activated CTLs	0.021162085840369
138	6mos	CD70-/-	6_CM/EM	-2.22044604925031e-16
138	6mos	CD70-/-	16_Terminally exhausted CTLs	NA
138	6mos	CD70-/-	13_Early exhausted CTLs	2.22044604925031e-16
138	6mos	CD70-/-	5_Other	-2.22044604925031e-16
138	6mos	CD70-/-	11_Cycling	0
140	6mos	CD70-/-	0_Naïve	0.000871623561386037
140	6mos	CD70-/-	1_CM/EM	0
140	6mos	CD70-/-	4_Naïve	0
140	6mos	CD70-/-	13_Early exhausted CTLs	NA
140	6mos	CD70-/-	5_Other	0
140	6mos	CD70-/-	6_CM/EM	0
140	6mos	CD70-/-	7_CM/EM	-2.22044604925031e-16
140	6mos	CD70-/-	9_Non-exhausted effectors	0.0817041659455106
140	6mos	CD70-/-	8_Precursor exhausted CTLs	NA
140	6mos	CD70-/-	3_Activated CTLs	NA
141	6mos	CD70-/-	5_Other	-2.22044604925031e-16
141	6mos	CD70-/-	4_Naïve	0
141	6mos	CD70-/-	13_Early exhausted CTLs	NA
141	6mos	CD70-/-	0_Naïve	0
141	6mos	CD70-/-	6_CM/EM	2.22044604925031e-16
141	6mos	CD70-/-	1_CM/EM	0
141	6mos	CD70-/-	8_Precursor exhausted CTLs	0.135026479282073
141	6mos	CD70-/-	3_Activated CTLs	NA
141	6mos	CD70-/-	7_CM/EM	-2.22044604925031e-16
141	6mos	CD70-/-	9_Non-exhausted effectors	2.22044604925031e-16
141	6mos	CD70-/-	2_Exhausted CTLs	NA
141	6mos	CD70-/-	11_Cycling	NA
110	6mos	CD70-/-	5_Other	0.0204302354529391
110	6mos	CD70-/-	1_CM/EM	1.11022302462516e-16
110	6mos	CD70-/-	0_Naïve	0
110	6mos	CD70-/-	6_CM/EM	0
110	6mos	CD70-/-	4_Naïve	0
110	6mos	CD70-/-	3_Activated CTLs	NA
110	6mos	CD70-/-	7_CM/EM	0.0174324069266364
110	6mos	CD70-/-	9_Non-exhausted effectors	NA
110	6mos	CD70-/-	8_Precursor exhausted CTLs	NA
110	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	1_CM/EM	0.00922444564703928
111	6mos	CD70-/-	0_Naïve	0.00153051337910426
111	6mos	CD70-/-	11_Cycling	NA
111	6mos	CD70-/-	4_Naïve	0
111	6mos	CD70-/-	7_CM/EM	-2.22044604925031e-16
111	6mos	CD70-/-	3_Activated CTLs	0
111	6mos	CD70-/-	6_CM/EM	0
111	6mos	CD70-/-	5_Other	0
111	6mos	CD70-/-	8_Precursor exhausted CTLs	0
111	6mos	CD70-/-	9_Non-exhausted effectors	NA
111	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	2_Exhausted CTLs	NA
158	6mos	Bcl6tg/+	0_Naïve	0.00108707037308098
158	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
158	6mos	Bcl6tg/+	7_CM/EM	2.22044604925031e-16
158	6mos	Bcl6tg/+	4_Naïve	-2.22044604925031e-16
158	6mos	Bcl6tg/+	1_CM/EM	0
158	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
158	6mos	Bcl6tg/+	6_CM/EM	0
158	6mos	Bcl6tg/+	5_Other	NA
158	6mos	Bcl6tg/+	3_Activated CTLs	NA
158	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
159	6mos	Bcl6tg/+	0_Naïve	0
159	6mos	Bcl6tg/+	4_Naïve	0
159	6mos	Bcl6tg/+	1_CM/EM	0
159	6mos	Bcl6tg/+	5_Other	NA
159	6mos	Bcl6tg/+	7_CM/EM	-2.22044604925031e-16
159	6mos	Bcl6tg/+	6_CM/EM	0
159	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
159	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
159	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	5_Other	2.22044604925031e-16
160	6mos	Bcl6tg/+	4_Naïve	0
160	6mos	Bcl6tg/+	1_CM/EM	0
160	6mos	Bcl6tg/+	0_Naïve	0.000701206599002746
160	6mos	Bcl6tg/+	6_CM/EM	0
160	6mos	Bcl6tg/+	7_CM/EM	0
160	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
160	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
160	6mos	Bcl6tg/+	3_Activated CTLs	NA
160	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	6_CM/EM	0
161	6mos	Bcl6tg/+	1_CM/EM	0
161	6mos	Bcl6tg/+	0_Naïve	0
161	6mos	Bcl6tg/+	3_Activated CTLs	NA
161	6mos	Bcl6tg/+	4_Naïve	0
161	6mos	Bcl6tg/+	5_Other	NA
161	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
161	6mos	Bcl6tg/+	7_CM/EM	0
161	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
161	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
161	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
032	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
032	6mos	Bcl6tg/+	0_Naïve	0
032	6mos	Bcl6tg/+	1_CM/EM	0
032	6mos	Bcl6tg/+	5_Other	0
032	6mos	Bcl6tg/+	7_CM/EM	2.22044604925031e-16
032	6mos	Bcl6tg/+	4_Naïve	0
032	6mos	Bcl6tg/+	9_Non-exhausted effectors	0
032	6mos	Bcl6tg/+	3_Activated CTLs	2.22044604925031e-16
032	6mos	Bcl6tg/+	6_CM/EM	0
032	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
032	6mos	Bcl6tg/+	11_Cycling	NA
032	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
033	6mos	Bcl6tg/+	4_Naïve	1.11022302462516e-16
033	6mos	Bcl6tg/+	5_Other	0
033	6mos	Bcl6tg/+	0_Naïve	0
033	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
033	6mos	Bcl6tg/+	1_CM/EM	0
033	6mos	Bcl6tg/+	6_CM/EM	-2.22044604925031e-16
033	6mos	Bcl6tg/+	7_CM/EM	2.22044604925031e-16
033	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
033	6mos	Bcl6tg/+	3_Activated CTLs	NA
033	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
033	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
145	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	0
145	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0
145	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	0.106734011416099
145	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	0
145	6mos	CD70-/-;Bcl6tg/+	4_Naïve	0
145	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	0
145	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	0
145	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	0.0541664595043809
145	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	2.22044604925031e-16
145	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	0
145	6mos	CD70-/-;Bcl6tg/+	11_Cycling	0.0174324069266364
145	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	-2.22044604925031e-16
145	6mos	CD70-/-;Bcl6tg/+	5_Other	2.22044604925031e-16
146	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	0
146	6mos	CD70-/-;Bcl6tg/+	4_Naïve	0
146	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	0.025372356037496
146	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0
146	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	0.00764650566667535
146	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	0
146	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	0
146	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	0
146	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	0
146	6mos	CD70-/-;Bcl6tg/+	5_Other	2.22044604925031e-16
146	6mos	CD70-/-;Bcl6tg/+	11_Cycling	0
146	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	0
146	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	0.0390359525563188
211	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	0
211	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	1.11022302462516e-16
211	6mos	CD70-/-;Bcl6tg/+	4_Naïve	0
211	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	0
211	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0
211	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	0
211	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	0
211	6mos	CD70-/-;Bcl6tg/+	5_Other	2.22044604925031e-16
211	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
211	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	0
211	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
211	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	2.22044604925031e-16
213	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	0
213	6mos	CD70-/-;Bcl6tg/+	4_Naïve	0
213	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0
213	6mos	CD70-/-;Bcl6tg/+	5_Other	NA
213	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
213	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	NA
213	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	0
213	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
213	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	2.22044604925031e-16
213	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	0.0152977959792399
280	6mos	CD70-/-;Bcl6tg/+	5_Other	0
280	6mos	CD70-/-;Bcl6tg/+	4_Naïve	0
280	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	0
280	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	0
280	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0
280	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
280	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
072	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	2.22044604925031e-16
072	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	0.0133400413261352
072	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	0.0289540700552028
072	6mos	CD70-/-;Bcl6tg/+	0_Naïve	0.00365523582812088
072	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
