sample_id	age	genotype	new_annotation	entropy
234	6mos	WT	0_Naïve	4.75359019110636
234	6mos	WT	1_CM/EM	3.40119738166216
234	6mos	WT	11_Cycling	NA
234	6mos	WT	4_Naïve	3.46573590279973
234	6mos	WT	5_Other	1.79175946922805
234	6mos	WT	9_Non-exhausted effectors	1.69574253416963
234	6mos	WT	7_CM/EM	1.94591014905531
234	6mos	WT	8_Precursor exhausted CTLs	NA
234	6mos	WT	3_Activated CTLs	NA
234	6mos	WT	13_Early exhausted CTLs	NA
234	6mos	WT	6_CM/EM	2.07944154167984
234	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	0_Naïve	4.66343909411207
257	6mos	WT	1_CM/EM	3.46573590279973
257	6mos	WT	4_Naïve	3.29583686600433
257	6mos	WT	5_Other	2.07944154167984
257	6mos	WT	6_CM/EM	2.39789527279837
257	6mos	WT	7_CM/EM	1.38629436111989
257	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	11_Cycling	NA
257	6mos	WT	13_Early exhausted CTLs	NA
257	6mos	WT	8_Precursor exhausted CTLs	NA
257	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	4_Naïve	2.70805020110221
010	6mos	WT	0_Naïve	4.52178857704904
010	6mos	WT	6_CM/EM	2.63905732961526
010	6mos	WT	13_Early exhausted CTLs	NA
010	6mos	WT	7_CM/EM	1.6094379124341
010	6mos	WT	1_CM/EM	3.71357206670431
010	6mos	WT	5_Other	NA
010	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	8_Precursor exhausted CTLs	NA
C	6mos	WT	0_Naïve	4.48863636973214
C	6mos	WT	1_CM/EM	3.3322045101752
C	6mos	WT	13_Early exhausted CTLs	NA
C	6mos	WT	4_Naïve	3.1634240504234
C	6mos	WT	6_CM/EM	2.30258509299405
C	6mos	WT	5_Other	1.94591014905531
C	6mos	WT	7_CM/EM	1.09861228866811
C	6mos	WT	9_Non-exhausted effectors	NA
D	6mos	WT	4_Naïve	2.83321334405622
D	6mos	WT	0_Naïve	3.80666248977032
D	6mos	WT	7_CM/EM	1.79175946922805
D	6mos	WT	8_Precursor exhausted CTLs	1.33217904021012
D	6mos	WT	6_CM/EM	2.07944154167984
D	6mos	WT	5_Other	1.94591014905531
D	6mos	WT	1_CM/EM	3.04452243772342
D	6mos	WT	2_Exhausted CTLs	0.900256051268537
D	6mos	WT	13_Early exhausted CTLs	NA
D	6mos	WT	3_Activated CTLs	1.09861228866811
D	6mos	WT	9_Non-exhausted effectors	1.09861228866811
D	6mos	WT	16_Terminally exhausted CTLs	NA
D	6mos	WT	11_Cycling	NA
262	6mos	WT	0_Naïve	3.66356164612965
262	6mos	WT	5_Other	1.79175946922805
262	6mos	WT	3_Activated CTLs	2.52321095295289
262	6mos	WT	4_Naïve	1.79175946922805
262	6mos	WT	8_Precursor exhausted CTLs	1.49417513828931
262	6mos	WT	2_Exhausted CTLs	2.55323700299371
262	6mos	WT	11_Cycling	1.56071040904141
262	6mos	WT	9_Non-exhausted effectors	1.38629436111989
262	6mos	WT	1_CM/EM	2.63905732961526
