sample_id	age	genotype	new_annotation	richness
234	6mos	WT	0_Naïve	116
234	6mos	WT	1_CM/EM	30
234	6mos	WT	11_Cycling	NA
234	6mos	WT	4_Naïve	32
234	6mos	WT	5_Other	6
234	6mos	WT	9_Non-exhausted effectors	6
234	6mos	WT	7_CM/EM	7
234	6mos	WT	8_Precursor exhausted CTLs	NA
234	6mos	WT	3_Activated CTLs	NA
234	6mos	WT	13_Early exhausted CTLs	NA
234	6mos	WT	6_CM/EM	8
234	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	0_Naïve	106
257	6mos	WT	1_CM/EM	32
257	6mos	WT	4_Naïve	27
257	6mos	WT	5_Other	8
257	6mos	WT	6_CM/EM	11
257	6mos	WT	7_CM/EM	4
257	6mos	WT	2_Exhausted CTLs	NA
257	6mos	WT	11_Cycling	NA
257	6mos	WT	13_Early exhausted CTLs	NA
257	6mos	WT	8_Precursor exhausted CTLs	NA
257	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	4_Naïve	15
010	6mos	WT	0_Naïve	92
010	6mos	WT	6_CM/EM	14
010	6mos	WT	13_Early exhausted CTLs	NA
010	6mos	WT	7_CM/EM	5
010	6mos	WT	1_CM/EM	41
010	6mos	WT	5_Other	NA
010	6mos	WT	9_Non-exhausted effectors	NA
010	6mos	WT	8_Precursor exhausted CTLs	NA
C	6mos	WT	0_Naïve	89
C	6mos	WT	1_CM/EM	28
C	6mos	WT	13_Early exhausted CTLs	NA
C	6mos	WT	4_Naïve	24
C	6mos	WT	6_CM/EM	10
C	6mos	WT	5_Other	7
C	6mos	WT	7_CM/EM	3
C	6mos	WT	9_Non-exhausted effectors	NA
D	6mos	WT	4_Naïve	17
D	6mos	WT	0_Naïve	45
D	6mos	WT	7_CM/EM	6
D	6mos	WT	8_Precursor exhausted CTLs	4
D	6mos	WT	6_CM/EM	8
D	6mos	WT	5_Other	7
D	6mos	WT	1_CM/EM	21
D	6mos	WT	2_Exhausted CTLs	3
D	6mos	WT	13_Early exhausted CTLs	NA
D	6mos	WT	3_Activated CTLs	3
D	6mos	WT	9_Non-exhausted effectors	3
D	6mos	WT	16_Terminally exhausted CTLs	NA
D	6mos	WT	11_Cycling	NA
262	6mos	WT	0_Naïve	39
262	6mos	WT	5_Other	6
262	6mos	WT	3_Activated CTLs	13
262	6mos	WT	4_Naïve	6
262	6mos	WT	8_Precursor exhausted CTLs	5
262	6mos	WT	2_Exhausted CTLs	14
262	6mos	WT	11_Cycling	5
262	6mos	WT	9_Non-exhausted effectors	4
262	6mos	WT	1_CM/EM	14
262	6mos	WT	7_CM/EM	NA
262	6mos	WT	6_CM/EM	4
262	6mos	WT	13_Early exhausted CTLs	5
262	6mos	WT	16_Terminally exhausted CTLs	NA
137	6mos	CD70-/-	8_Precursor exhausted CTLs	10
137	6mos	CD70-/-	0_Naïve	58
137	6mos	CD70-/-	6_CM/EM	9
137	6mos	CD70-/-	13_Early exhausted CTLs	NA
137	6mos	CD70-/-	1_CM/EM	27
137	6mos	CD70-/-	3_Activated CTLs	5
137	6mos	CD70-/-	5_Other	NA
137	6mos	CD70-/-	11_Cycling	4
137	6mos	CD70-/-	2_Exhausted CTLs	5
137	6mos	CD70-/-	4_Naïve	14
137	6mos	CD70-/-	9_Non-exhausted effectors	NA
137	6mos	CD70-/-	7_CM/EM	NA
138	6mos	CD70-/-	0_Naïve	29
138	6mos	CD70-/-	4_Naïve	13
138	6mos	CD70-/-	9_Non-exhausted effectors	7
138	6mos	CD70-/-	1_CM/EM	18
138	6mos	CD70-/-	8_Precursor exhausted CTLs	6
138	6mos	CD70-/-	7_CM/EM	7
138	6mos	CD70-/-	2_Exhausted CTLs	5
138	6mos	CD70-/-	3_Activated CTLs	10
138	6mos	CD70-/-	6_CM/EM	5
138	6mos	CD70-/-	16_Terminally exhausted CTLs	NA
138	6mos	CD70-/-	13_Early exhausted CTLs	3
138	6mos	CD70-/-	5_Other	5
138	6mos	CD70-/-	11_Cycling	4
140	6mos	CD70-/-	0_Naïve	95
140	6mos	CD70-/-	1_CM/EM	21
140	6mos	CD70-/-	4_Naïve	29
140	6mos	CD70-/-	13_Early exhausted CTLs	NA
140	6mos	CD70-/-	5_Other	4
140	6mos	CD70-/-	6_CM/EM	9
140	6mos	CD70-/-	7_CM/EM	5
140	6mos	CD70-/-	9_Non-exhausted effectors	2
140	6mos	CD70-/-	8_Precursor exhausted CTLs	NA
140	6mos	CD70-/-	3_Activated CTLs	NA
141	6mos	CD70-/-	5_Other	5
141	6mos	CD70-/-	4_Naïve	16
141	6mos	CD70-/-	13_Early exhausted CTLs	NA
141	6mos	CD70-/-	0_Naïve	71
141	6mos	CD70-/-	6_CM/EM	10
141	6mos	CD70-/-	1_CM/EM	20
141	6mos	CD70-/-	8_Precursor exhausted CTLs	3
141	6mos	CD70-/-	3_Activated CTLs	NA
141	6mos	CD70-/-	7_CM/EM	5
141	6mos	CD70-/-	9_Non-exhausted effectors	3
141	6mos	CD70-/-	2_Exhausted CTLs	NA
141	6mos	CD70-/-	11_Cycling	NA
110	6mos	CD70-/-	5_Other	7
110	6mos	CD70-/-	1_CM/EM	27
110	6mos	CD70-/-	0_Naïve	111
110	6mos	CD70-/-	6_CM/EM	12
110	6mos	CD70-/-	4_Naïve	14
110	6mos	CD70-/-	3_Activated CTLs	NA
110	6mos	CD70-/-	7_CM/EM	8
110	6mos	CD70-/-	9_Non-exhausted effectors	NA
110	6mos	CD70-/-	8_Precursor exhausted CTLs	NA
110	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	1_CM/EM	22
111	6mos	CD70-/-	0_Naïve	104
111	6mos	CD70-/-	11_Cycling	NA
111	6mos	CD70-/-	4_Naïve	23
111	6mos	CD70-/-	7_CM/EM	5
111	6mos	CD70-/-	3_Activated CTLs	4
111	6mos	CD70-/-	6_CM/EM	11
111	6mos	CD70-/-	5_Other	4
111	6mos	CD70-/-	8_Precursor exhausted CTLs	4
111	6mos	CD70-/-	9_Non-exhausted effectors	NA
111	6mos	CD70-/-	13_Early exhausted CTLs	NA
111	6mos	CD70-/-	2_Exhausted CTLs	NA
158	6mos	Bcl6tg/+	0_Naïve	79
158	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
158	6mos	Bcl6tg/+	7_CM/EM	3
158	6mos	Bcl6tg/+	4_Naïve	13
158	6mos	Bcl6tg/+	1_CM/EM	18
158	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
158	6mos	Bcl6tg/+	6_CM/EM	9
158	6mos	Bcl6tg/+	5_Other	NA
158	6mos	Bcl6tg/+	3_Activated CTLs	NA
158	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
159	6mos	Bcl6tg/+	0_Naïve	115
159	6mos	Bcl6tg/+	4_Naïve	18
159	6mos	Bcl6tg/+	1_CM/EM	31
159	6mos	Bcl6tg/+	5_Other	NA
159	6mos	Bcl6tg/+	7_CM/EM	5
159	6mos	Bcl6tg/+	6_CM/EM	8
159	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
159	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
159	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	5_Other	10
160	6mos	Bcl6tg/+	4_Naïve	36
160	6mos	Bcl6tg/+	1_CM/EM	22
160	6mos	Bcl6tg/+	0_Naïve	114
160	6mos	Bcl6tg/+	6_CM/EM	6
160	6mos	Bcl6tg/+	7_CM/EM	6
160	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
160	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
160	6mos	Bcl6tg/+	3_Activated CTLs	NA
160	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	6_CM/EM	9
161	6mos	Bcl6tg/+	1_CM/EM	12
161	6mos	Bcl6tg/+	0_Naïve	20
161	6mos	Bcl6tg/+	3_Activated CTLs	NA
161	6mos	Bcl6tg/+	4_Naïve	4
161	6mos	Bcl6tg/+	5_Other	NA
161	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
161	6mos	Bcl6tg/+	7_CM/EM	4
161	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
161	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
161	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
032	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
032	6mos	Bcl6tg/+	0_Naïve	127
032	6mos	Bcl6tg/+	1_CM/EM	41
032	6mos	Bcl6tg/+	5_Other	6
032	6mos	Bcl6tg/+	7_CM/EM	10
032	6mos	Bcl6tg/+	4_Naïve	30
032	6mos	Bcl6tg/+	9_Non-exhausted effectors	6
032	6mos	Bcl6tg/+	3_Activated CTLs	3
032	6mos	Bcl6tg/+	6_CM/EM	8
032	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
032	6mos	Bcl6tg/+	11_Cycling	NA
032	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
033	6mos	Bcl6tg/+	4_Naïve	25
