new_annotation	clonality_median
0_Naïve	0
1_Exhausted CTLs	0.0174324069266364
2_Th1/EM	1.11022302462516e-16
3_Effector Tregs	5.55111512312578e-17
4a_Exhausted CTLs	0.0118909084258794
4b_Naïve	0
5_Tfh	0.0041754157543924
6_Activated CTLs	0.0088769396271976
7_Follicular Tregs	2.22044604925031e-16
8_Other	2.22044604925031e-16
9_NKT	0
10_Effector Tregs	0
11_Cycling Tregs	0
12_Cycling	2.22044604925031e-16
13_Early activated CTLs	2.22044604925031e-16
15_IFN-stimulated	2.22044604925031e-16
17_Cycling	0.0302761001317527
24_Cycling Tregs	0.0151380500658765
