new_annotation	entropy_median
0_Naïve	3.02634560851796
1_Exhausted CTLs	2.19722457733622
2_Th1/EM	2.75166661693152
3_Effector Tregs	1.94591014905531
4a_Exhausted CTLs	1.38629436111989
4b_Naïve	2.07944154167984
5_Tfh	2.16395565688206
6_Activated CTLs	1.6094379124341
7_Follicular Tregs	1.56071040904141
8_Other	1.09861228866811
9_NKT	1.70059869083108
10_Effector Tregs	1.6094379124341
11_Cycling Tregs	1.38629436111989
12_Cycling	1.09861228866811
13_Early activated CTLs	1.60180230577606
15_IFN-stimulated	1.38629436111989
17_Cycling	1.09861228866811
24_Cycling Tregs	1.17053280678105
