feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Junb	0	3.3506439523177782	1.1320958483610055	3634337775.5	0.7534046767993868	0	0	96.18117229129662	82.16143918545129
Cr2	1	1.4984116025673486	1.0069028754105689	1862841159.5	0.7590448989096611	0	0	73.73750657548659	30.14531371030209
Plac8	1	2.195049066611022	0.8998053006477911	1770649685.5	0.7214799848504049	0	0	93.81904260915309	61.00139426800929
Ifi27l2a	10	2.239152098910981	1.3155727912846868	815216488.5	0.7948388782932557	0	0	85.78080824879429	52.11877821422291
Tagln2	11	1.6263863006828407	1.0893320038360996	774553477.5	0.7827318781416469	0	0	78.44321712115982	35.388110475499005
Vim	11	2.22833750442197	1.367391379945433	799816681.5	0.8082618327402892	0	0	89.52364515015533	44.77103326326637
Crip1	11	2.7005530258530563	0.9302721770830671	715806570	0.7233646703525777	0	0	93.97652744218156	78.28255918121191
Ahnak	11	1.2254714981236503	0.8785724260534049	731308947.5	0.7390307352644556	0	0	65.67138419054194	22.15657917078969
Malat1	13	2.9524124266335203	-0.8571628922039789	306682140	0.3905474524514532	4.702203217520778e-141	4.337446596504523e-138	75.5750273822563	96.93811112790523
Stat1	14	1.5346289945416904	0.8658362320091416	484573817	0.7344412060596959	0	0	75.0981932443048	43.401403070084044
Serpina3g	14	1.5670157225113186	1.3176388744060652	561191355	0.8505660874295132	0	0	80.0471327572663	18.59473038364474
Stk17b	15	0.4595613648414013	-0.8724874410942264	140374082	0.24963748398939636	0	0	44.79038224414303	73.73470482695758
Rpl37a	15	2.8468913608353725	-0.9138376856913011	90473790	0.16089614963669013	0	0	97.81134401972874	99.15771984377434
Fcmr	15	0.8681550856398461	-0.9002070463893019	156386972	0.27811437597718486	0	0	52.034525277435264	81.40926162029318
H3f3a	15	1.6025953116744154	-1.062371049215648	89667875.5	0.15946293301134062	0	0	91.58446362515413	96.30492849272235
Rpl12	15	1.9607511292790103	-0.852211722238335	115674331.5	0.20571211342144613	0	0	94.0813810110974	97.30585730851107
H13	15	1.3738186737565419	1.007857874648223	457887974	0.8142956317132827	0	0	80.51787916152897	29.867485101448604
Slpi	15	1.115262344885333	1.072152067198002	390144952.5	0.6938232681248278	0	0	40.7829839704069	2.3774222765794195
Rps21	15	2.426753060304409	-0.9511668267700868	86156385	0.1532181929497624	0	0	96.54747225647348	98.61600678439359
Rps27	15	2.6920649446838736	-1.167578261210009	77963310	0.13864784919402248	0	0	96.97903822441431	99.14445104679271
Tent5c	15	1.07326261135836	0.8999527313166416	459203396	0.816634942744106	0	0	74.59926017262639	14.576638840653287
Bank1	15	0.44419925714741293	-1.0153260085398323	122172239.5	0.21726781787345864	0	0	35.35758323057953	77.81572525513589
Sec61b	15	1.8548532775045743	0.8158430715275293	426731927	0.7588885574633839	0	0	87.88532675709001	65.4313224375357
Sh3bgrl3	15	1.2887049056566282	-1.1372619471596461	105888760.5	0.18830971770113358	0	0	80.51787916152897	94.98324093250797
Jchain	15	3.4123879434131865	3.343394235952637	489664539.5	0.8708062193390258	0	0	75.70900123304563	3.8092985421630448
Actb	15	3.0947680620172706	-1.0167647465429823	104975082	0.18668485648269864	0	0	98.92108508014796	99.69597147785552
Pdia4	15	1.80715498723243	1.0899420639162027	449692734.5	0.7997214386690815	0	0	88.96424167694205	47.41806517863839
Igkc	15	4.423821701793127	1.9544692849992589	451251209	0.8024929877150203	0	0	95.68434032059187	91.49816256007016
Tmsb10	15	1.9619024385054202	-1.701789266667848	59116030	0.10513035442427097	0	0	91.43033292231813	98.91945840232145
Edem1	15	1.2247942627595951	1.0094449390301323	457661803.5	0.8138934161919543	0	0	75.0924784217016	18.78284748383226
Arhgdib	15	1.1579827309504396	-0.9213473722543453	121543774.5	0.2161501726561927	0	0	79.53144266337856	91.85007413219182
Rps19	15	3.02160786500485	-0.8340700268556138	124780015.5	0.22190541642564673	0	0	98.55117139334155	99.31175326960465
Cd37	15	1.1407649443282004	-1.2108930674048355	107073954	0.19041743387754703	0	0	74.10604192355117	93.2381056773144
Spcs2	15	1.5244565180153684	0.9413530294328637	451796234	0.803462245485207	0	0	86.31319358816276	43.07570714034349
Rpl27a	15	2.9538320347914384	-0.807153157594076	109011245.5	0.19386266086620182	0	0	98.27373612823675	99.24887070999601
Rps15a	15	3.043623754391232	-0.8840907206927802	97522688.5	0.17343172074330387	0	0	98.21208384710233	99.26213950697765
