feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
S100a9	0	6.386696190523004	3.0894408622950618	199491801.5	0.6557176325707643	0	0	98.83140596469873	50.74256088999298
Il1b	0	3.7350115344624566	3.024436247892097	268015307	0.8809503011018054	0	0	89.70176506390749	23.419020359669492
S100a8	0	6.092481424547772	2.835601071696561	197947063	0.6506401694141598	0	0	98.61229458307973	52.95134201004482
Retnlg	0	4.100371580641911	2.7817190594097	247087828	0.812162927974823	0	0	90.18867924528303	35.2297888426851
Csf3r	0	2.954706207316244	2.2741968688705874	270426709.5	0.8888764370461701	0	0	91.41813755325624	37.44667062699141
S100a9	1	0.17372880761090898	-4.0334891785051665	31056850	0.19187473512608066	0	0	6.537282941777324	64.48842329373625
S100a8	1	0.17475293829351748	-3.9377167441344287	29426703.5	0.18180340052826385	0	0	6.256384065372829	66.45053589141848
Gngt2	1	2.8073750874981074	2.3238477505056325	151877904	0.9383286650611478	0	0	96.32277834525026	24.907458931120413
Lcn2	1	0.05022445833810307	-2.189450909572859	39086373	0.2414825542968521	0	0	2.5791624106230846	53.206880700650814
Cst3	1	3.830354904362333	2.1187242918668447	152442004	0.9418137750476603	0	0	99.69356486210418	72.35864805361334
Il1b	10	3.8628204257008782	2.7057679581945484	62852433	0.8413684321788518	0	0	92.94871794871796	33.1863184251028
Retnlg	10	4.091209419603244	2.356915558802292	57232578.5	0.7661387561894074	0	0	91.4918414918415	43.38318057565525
Isg15	10	2.639077868149415	2.105104604226154	65011170	0.8702661705556062	0	0	85.4895104895105	29.747547837272876
Ifitm1	10	2.976296930201122	2.060811987071879	58189982	0.7789549518927232	0	0	78.55477855477857	29.83713504697586
Tmsb10	10	0.44621777050022443	-1.9217967227987605	15242188.5	0.20403818323499945	0	0	19.696969696969695	71.70422438150369
Il1b	11	4.029418906028349	2.8710194296021117	59853901	0.8591034805302951	0	0	95.42606516290726	33.26002794767828
Ifitm1	11	3.2977892279903327	2.388393311246973	56486889.5	0.8107756146718019	0	0	82.20551378446115	29.837582754908027
Srgn	11	4.228169724916763	1.9618255533621927	60991000	0.8754246507846369	0	0	98.37092731829574	78.99113462992234
Cxcl2	11	2.6647492928865018	1.949299302599322	51433795	0.7382468237347084	0	0	64.53634085213032	21.90456555105033
Tmsb10	11	0.4579047828418234	-1.9043994940130902	14409252	0.2068209145639165	0	0	19.172932330827066	71.5804182988569
S100a9	12	0.24071280161023467	-3.7428314881366154	14049588	0.21191178877678635	0	0	6.860158311345646	61.29696110488647
S100a8	12	0.2030963206131456	-3.6922949827070513	13286516	0.20040227316070708	0	0	5.804749340369393	63.16282898497702
C1qb	12	3.5206359422761513	3.3538993263062715	62806366.5	0.9473167093288024	0	0	92.87598944591029	5.746232821896508
C1qc	12	3.2949065834142406	3.1631412224810442	62382838.5	0.9409285806465197	0	0	90.89709762532982	4.788146251114719
C1qa	12	3.2413165778808306	3.1097535139155723	61968274.5	0.9346756571584816	0	0	89.9736147757256	4.500034299041913
C1qb	13	2.690461975804141	2.4785683846363225	45601548.5	0.8442387034237198	0	0	74.57212713936431	6.828403979828268
Apoe	13	3.031970210516135	2.434361714866842	44301804	0.8201760422300519	0	0	76.60961695191524	22.095770296669848
