feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Rpl7	0	0.6598198255921159	-1.177209539679125	70880485	0.23297991932599582	0	0	32.40413877054169	78.36582599773182
Rnf149	0	1.4644511723566627	0.9799907653398514	215488982	0.7082994090968898	0	0	60.57212416311625	31.241561808068262
Il1r2	0	1.5574479650468926	1.060869305960317	216068681	0.7102048450748372	0	0	60.791235544735244	28.93017227412648
Stk17b	0	2.1990210568557558	1.2961688394519024	237872972.5	0.7818742485027412	0	0	80.1095556908095	52.257385105578656
Eef1b2	0	0.5055172158227685	-0.8296434274002404	89373432.5	0.29376513286749284	0	0	25.161290322580644	66.23643138737376
Rpl37a	0	1.6438176630991488	-0.9599453224242285	88172480	0.28981767375283873	0	0	67.24284844796105	89.92007344602257
Cxcr2	0	1.9306902270330406	1.438243455127573	240914050	0.7918700885511565	0	0	74.80219111381618	26.59448074742129
Ptma	0	0.4294668216606908	-1.3865886464746335	70813575	0.23275999015364177	0	0	19.90261716372489	67.15990711238321
Btg2	0	1.91006680423473	0.8663752033936833	207848642	0.6831860680013375	0	0	70.11564211807669	56.47513096073878
Adipor1	0	1.9137795824026465	0.9225564084479513	222816031	0.7323829813935187	0	0	74.87522824102251	59.885510611870174
Ier5	0	1.9079280109518502	0.9128713048155418	212588505.5	0.6987657161350408	0	0	71.19902617163724	54.81719500999082
Rpl7a	0	0.5742061473175348	-1.2156384254640633	68717191	0.22586930119748821	0	0	28.35057821059038	76.94820975319976
Rpl12	0	0.11347537065867898	-1.0796517739859526	71881491.5	0.23627016788474647	0	0	5.782105903834449	58.32478263217584
Rpl35	0	0.4227044753996119	-1.482217624213636	60656891.5	0.1993755783165942	0	0	20.64516129032258	74.79883350434736
Atp5g3	0	0.23505607912186768	-0.9270624654544073	76847471	0.2525930458007843	0	0	12.221545952525867	62.229302802829835
Cd44	0	1.780802934630213	0.8222941855636354	211997501	0.6968231196540587	0	0	70.54169202678028	57.412107792839016
Hdc	0	2.027446303349939	1.3996985290329325	236402056.5	0.7770394354929923	0	0	75.34996956786367	32.69158070961819
Il1b	0	3.7350115344624566	3.024436247892097	268015307	0.8809503011018054	0	0	89.70176506390749	23.419020359669492
Gpcpd1	0	1.314134823960187	0.9003625073830104	210712179.5	0.6925983446771667	0	0	56.15337796713329	27.08862126694389
Slpi	0	3.1874827233881273	1.9943538140607266	252562911	0.8301591986781504	0	0	89.28788800973828	50.38073121996004
Mmp9	0	2.239357765875415	1.3721194277318036	226537641	0.7446156911099212	0	0	80.1095556908095	32.64837716692769
Cebpb	0	2.932814635294325	1.2338844491767333	230082861.5	0.7562686190784991	0	0	90.00608642726719	69.6252092671599
Rps21	0	1.1540180319479978	-0.8736389940209177	94786618.5	0.3115579518299563	0	0	51.028606208155814	80.79602527407246
Tpd52	0	1.9658309473140858	1.131750714454915	228930274	0.7524801328292	0	0	75.50821667681072	45.625641302586814
Slc7a11	0	1.742280920909354	1.3562955825759349	227927721	0.7491848010173474	0	0	63.35970785149117	19.33088513258087
Rps3a1	0	1.1506362384466757	-1.3590529165093748	67900005	0.22318325963958502	0	0	50.71211199026172	86.39898471674677
S100a6	0	4.244919055908357	1.8118334260326114	243279206	0.799644215013093	0	0	95.65429093122337	72.05540854350056
S100a8	0	6.092481424547772	2.835601071696561	197947063	0.6506401694141598	0	0	98.61229458307973	52.95134201004482
S100a9	0	6.386696190523004	3.0894408622950618	199491801.5	0.6557176325707643	0	0	98.83140596469873	50.74256088999298
S100a11	0	4.331130478135352	1.932215630318387	270337384	0.8885828294645663	0	0	98.62446743761411	79.22989685154182
Ctss	0	0.2870714474290541	-0.8170962782482185	104982753.5	0.34507203839041034	0	0	14.181375532562384	42.226062537128044
Mcl1	0	3.2589540827592853	1.4464187527311037	260173782	0.8551756769313756	0	0	94.63177115033476	79.42161257223093
Txnip	0	1.6011239673546376	0.8171713570940393	204765168.5	0.6730508748339397	0	0	63.335362142422404	47.13776529675434
Chil3	0	0.11360485205706461	-1.2611825540865165	92676431	0.30462189159401515	0	0	5.136944613511869	42.96052276286655
Rpl34	0	1.5278691786238399	-1.0312700771241794	81588783.5	0.2681774567109147	0	0	64.18746195982959	89.52044067613544
H2afz	0	0.9342264759296298	-1.0799941836111984	82934777.5	0.2726016585703302	0	0	42.47108947048083	77.03461683858076
Rps20	0	0.47527035864955175	-2.0529282064440313	43748408.5	0.1437984049202077	0	0	22.203286670724285	82.43505967489334
Txn1	0	2.8969616288832594	0.9284269159719198	227957658.5	0.7492832037911832	0	0	90.76080340839927	80.14257169087865
Rps6	0	0.48707423663813165	-1.1554345418851701	71559233.5	0.2352109250925709	0	0	24.272671941570298	73.13279688934493
Rps8	0	1.036243253571118	-1.7226555176777067	55470888	0.1823294946582455	0	0	45.28301886792453	86.76621482961603
Csf3r	0	2.954706207316244	2.2741968688705874	270426709.5	0.8888764370461701	0	0	91.41813755325624	37.44667062699141
Rpl11	0	0.9679820586430357	-1.374292668791836	64784875.5	0.212944015091526	0	0	44.35788192331101	85.0569746719231
Rpl22	0	0.4275501071707824	-1.2252353665229183	70234833.5	0.230857701420987	0	0	20.852099817407183	70.84570934816655
Fgl2	0	1.199139482089282	0.8191384474315194	202311765	0.6649866841119925	0	0	49.67741935483871	23.456823459523683
Mrpl33	0	2.0331773049948376	0.8445421974176313	220940235	0.726217352013979	0	0	77.56542909312233	65.78549441054167
Rpl9	0	1.7614075176274668	-0.8724479775827012	85902619.5	0.2823567779058187	0	0	71.63724893487523	91.44299832586272
Cxcl2	0	2.2080599394848432	1.7396993547630974	220740758.5	0.7255616846765245	0	0	57.711503347535	15.798995517632447
Plac8	0	0.3757761865445266	-1.1429962774205686	85266609	0.2802662493917928	0	0	16.250760803408397	58.997137765296756
Rpl5	0	0.2286576278617482	-0.9740162962443064	76570177.5	0.2516815986336321	0	0	11.55203895313451	61.23832154236647
Selplg	0	2.2082982900584254	1.134122122984218	232148040.5	0.7630567390640457	0	0	80.74254412659768	58.392288167629744
Rplp0	0	0.8428787994261212	-1.5803238741681653	57664259.5	0.18953897573222428	0	0	39.306147291539865	84.66814278770859
Rpl6	0	0.6934108754946406	-1.4344090814086388	60194360	0.19785526491078537	0	0	33.17102860620816	82.04082734784252
Rpl21	0	0.932833863216916	-1.333781748997054	68051057	0.22367975853873942	0	0	43.20146074254413	83.49624669222877
